,PCT,CRIME,2012,2013,2014,2015,2016,2017,2018
0,1,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,42.0,43,37,18,7,13,14
1,1,OTHER VIOLATIONS (1),298.0,47,134,58,42,122,39
2,1,HARASSMENT 2                          ,451.0,451,474,537,682,712,806
3,1,GRAND LARCENY OF MOTOR VEHICLE                                  ,41.0,27,33,21,50,17,21
4,1,BURGLARY                              ,188.0,171,145,138,117,65,85
5,1,FELONY ASSAULT                        ,110.0,87,76,86,78,91,61
6,1,RAPE                                  ,10.0,12,8,7,9,18,23
7,1,MURDER & NON NEGL. MANSLAUGHTER                                ,1.0,0,0,1,0,9,1
8,1,FEL. CRIMINAL MISCHIEF & RELATED OFFENSES  ,74.0,66,61,68,59,62,77
9,1,FELONY DANGEROUS DRUGS  (1),28.0,37,33,18,22,20,20
10,1,FELONY SEX CRIMES (3),12.0,14,7,13,13,23,17
11,1,FORGERY/THEFT-FRAUD/IDENTITY THEFT                ,183.0,111,142,138,169,177,194
12,1,FELONY POSSESSION STOLEN PROPERTY            ,12.0,10,31,13,12,11,6
13,1,MISDEMEANOR DANGEROUS WEAPONS (5)               ,32.0,19,32,26,22,22,17
14,1,PETIT LARCENY                         ,2119.0,2014,1863,1782,2014,1932,2537
15,1,INTOXICATED & IMPAIRED DRIVING              ,53.0,68,153,46,20,8,12
16,1,OTHER MISDEMEANORS (8),666.0,647,497,623,553,460,315
17,1,CRIMINAL TRESPASS,92.0,108,88,75,126,85,104
18,1,MISDEMEANOR SEX CRIMES (4),44.0,42,43,35,53,72,88
19,1,UNAUTHORIZED USE OF A VEHICLE           ,3.0,5,10,4,5,8,13
20,1,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),154.0,101,100,81,101,73,74
21,1,ADMINISTRATIVE CODE (6)            ,2.0,1,1,1,4,2,2
22,5,BURGLARY                              ,138.0,92,101,86,81,86,130
23,5,FELONY POSSESSION STOLEN PROPERTY            ,10.0,5,8,4,8,9,7
24,5,RAPE                                  ,12.0,5,4,10,8,7,7
25,5,FORGERY/THEFT-FRAUD/IDENTITY THEFT                ,99.0,80,69,72,91,71,73
26,5,FELONY SEX CRIMES (3),8.0,8,14,15,16,18,24
27,5,FELONY DANGEROUS DRUGS  (1),151.0,139,148,138,156,173,156
28,5,ROBBERY                               ,122.0,102,76,100,102,89,85
29,5,GRAND LARCENY                         ,548.0,599,536,559,563,545,531
30,5,OTHER FELONIES (4),114.0,103,49,173,345,242,260
31,5,MISDEMEANOR DANGEROUS WEAPONS (5)               ,23.0,24,32,50,34,25,39
32,5,AGGRAVATED HARASSMENT 2               ,145.0,131,84,109,106,110,119
33,5,OTHER MISDEMEANORS (8),335.0,459,556,628,471,332,182
34,5,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),120.0,108,98,68,85,57,70
35,5,MISDEMEANOR SEX CRIMES (4),32.0,42,31,61,40,68,52
36,5,UNAUTHORIZED USE OF A VEHICLE           ,2.0,3,4,3,0,4,3
37,5,CRIMINAL TRESPASS,108.0,105,145,162,164,141,93
38,5,OTHER VIOLATIONS (1),38.0,19,51,22,49,28,3
39,5,HARASSMENT 2                          ,430.0,343,376,399,446,445,480
40,5,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,17.0,20,11,9,14,19,9
41,5,VEHICLE AND TRAFFIC LAWS              ,41.0,47,52,43,42,53,47
42,5,INTOXICATED & IMPAIRED DRIVING              ,28.0,29,24,22,30,34,31
43,5,PETIT LARCENY                         ,1240.0,1288,1085,955,911,922,925
44,6,FELONY ASSAULT                        ,111.0,135,128,93,111,131,121
45,6,MURDER & NON NEGL. MANSLAUGHTER                                ,1.0,2,2,0,0,0,1
46,6,HARASSMENT 2                          ,376.0,364,391,386,447,387,422
47,6,GRAND LARCENY OF MOTOR VEHICLE                                  ,35.0,33,45,32,33,24,28
48,6,GRAND LARCENY                         ,1124.0,1253,1127,1126,1003,998,1031
49,6,ROBBERY                               ,148.0,140,99,114,120,139,153
50,6,FEL. CRIMINAL MISCHIEF & RELATED OFFENSES  ,84.0,102,65,80,79,95,91
51,6,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),100.0,106,105,69,67,71,52
52,6,UNAUTHORIZED USE OF A VEHICLE           ,4.0,2,7,8,9,8,9
53,6,CRIMINAL TRESPASS,103.0,113,97,91,96,101,90
54,6,ADMINISTRATIVE CODE (6)            ,0.0,2,2,0,2,1,3
55,6,AGGRAVATED HARASSMENT 2               ,148.0,149,106,111,111,139,157
56,6,OTHER MISDEMEANORS (8),561.0,568,658,545,378,386,241
57,6,FELONY POSSESSION STOLEN PROPERTY            ,23.0,18,39,36,8,22,41
58,6,FORGERY/THEFT-FRAUD/IDENTITY THEFT                ,105.0,125,105,132,107,111,74
59,6,FELONY SEX CRIMES (3),10.0,7,4,12,22,10,14
60,6,VEHICLE AND TRAFFIC LAWS              ,46.0,43,31,26,31,42,31
61,6,OTHER FELONIES (4),44.0,65,33,34,43,57,68
62,6,INTOXICATED & IMPAIRED DRIVING              ,115.0,189,77,28,27,17,25
63,6,PETIT LARCENY                         ,1451.0,1555,1290,1442,1243,1214,1236
64,6,MISDEMEANOR SEX CRIMES (4),40.0,39,31,43,52,45,52
65,6,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,48.0,30,20,16,11,7,20
66,6,FELONY DANGEROUS DRUGS  (1),212.0,214,160,181,154,184,133
67,7,GRAND LARCENY OF MOTOR VEHICLE                                  ,32.0,24,29,26,33,18,22
68,7,OTHER FELONIES (4),119.0,112,114,127,110,79,79
69,7,FELONY ASSAULT                        ,122.0,106,153,144,148,178,153
70,7,RAPE                                  ,19.0,6,7,9,17,9,15
71,7,MURDER & NON NEGL. MANSLAUGHTER                                ,0.0,1,0,1,1,0,0
72,7,OTHER VIOLATIONS (1),46.0,19,15,16,10,16,30
73,7,FELONY POSSESSION STOLEN PROPERTY            ,6.0,10,15,3,3,7,4
74,7,FORGERY/THEFT-FRAUD/IDENTITY THEFT                ,52.0,62,58,64,69,65,74
75,7,FELONY SEX CRIMES (3),8.0,9,7,11,13,14,18
76,7,FEL. CRIMINAL MISCHIEF & RELATED OFFENSES  ,44.0,38,41,60,79,92,86
77,7,BURGLARY                              ,92.0,67,56,85,55,65,93
78,7,HARASSMENT 2                          ,441.0,419,491,570,604,481,525
79,7,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),123.0,115,113,92,131,113,95
80,7,AGGRAVATED HARASSMENT 2               ,214.0,203,135,120,180,205,195
81,7,ADMINISTRATIVE CODE (6)            ,6.0,5,1,3,0,5,1
82,7,OTHER MISDEMEANORS (8),368.0,352,284,376,274,266,164
83,7,UNAUTHORIZED USE OF A VEHICLE           ,4.0,1,2,7,3,3,1
84,7,INTOXICATED & IMPAIRED DRIVING              ,74.0,70,60,44,24,28,27
